1;73
2;55
3;54
4;52
5;44
6;40
7;37
8;48
9;68
10;38
11;36
12;35
13;35
14;35
15;37
16;37
17;36
18;34
19;37
20;35
21;37
22;38
23;42
24;38
25;33
26;35
27;66
28;75
29;61
30;49
31;44
32;41
33;40
34;39
35;37
36;36
37;40
38;38
39;36
40;37
41;35
42;34
43;39
44;41
45;37
46;38
47;36
48;37
49;40
50;40
51;38
52;54
53;39
54;36
55;39
56;48
57;34
58;36
59;36
60;39
61;38
62;36
63;37
64;37
65;34
66;51
67;42
68;43
69;33
70;36
71;36
72;37
73;37
74;41
75;35
76;43
77;48
78;40
79;43
80;35
81;35
82;37
83;35
84;37
85;30
86;28
87;30
88;29
89;30
90;28
91;30
92;30
93;31
94;30
95;28
96;29
97;32
98;30
99;30
100;31
